Doc Number,Doc Date,Order Reference,Qty,Product Code,Color Code,Color / Variant,Size (Packing List),EAN,Product Name,Price EUR,Gender,Category,Composition,Description,Features,Weight,Matched Color (from scrape),Matched Size (from scrape),URL,Match Status
82988,08/05/2026,2008/00100017400079,2,36N6097,U423,ANTRACITE,48,8055950140391,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,48,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,2,36N6097,U423,ANTRACITE,50,8055950140438,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,50,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,U423,ANTRACITE,52,8055950140476,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,52,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,U423,ANTRACITE,54,8055950140513,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,54,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,36N6097,U423,ANTRACITE,56,8055950140551,Polo tecnica traspirante da Uomo per comfort e attività outdoor,19.95,Uomo,Hiking,,"Questa polo da uomo CMP è l'alleata perfetta per le tue avventure all'aria aperta. Realizzata con un tessuto tecnico leggero da 120 gr/m², garantisce un'eccellente traspirazione, mantenendoti asciutto e fresco anche durante le attività più intense. Il suo design a vestibilità regolare assicura massima libertà di movimento e un comfort duraturo, rendendola ideale per ogni occasione outdoor. Scegli la qualità CMP per un capo versatile che unisce stile e funzionalità.",,Nuova Collezione      Column 1      Uomo,Antracite,56,https://www.cmpsport.com/it/polo-tecnica-traspirante-da-uomo-per-comfort-e-attivita-outdoor-36n6097,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,E663,SAGE,46,8050243603874,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,46,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,E663,SAGE,48,8050243603911,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,48,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,E663,SAGE,50,8050243603959,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,50,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,E663,SAGE,52,8050243603997,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,52,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,E663,SAGE,54,8050243604031,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,54,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,E663,SAGE,56,8050243604079,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",SAGE,56,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,F963,PINE,46,8055950405032,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,46,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,F963,PINE,48,8055950405049,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,48,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,F963,PINE,50,8055950405056,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,50,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,2,39T7117P,F963,PINE,52,8055950405063,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,52,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,F963,PINE,54,8055950405070,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,54,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82988,08/05/2026,2008/00100017400079,1,39T7117P,F963,PINE,56,8055950405087,Maglia a maniche corte girocollo da uomo con logo CMP,99.99,Man,Hiking,100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Take the unmistakeable CMP style with you with this technical look t-shirt, designed for anyone who wants a garment to wear both in the mountains and the city. Excellent breathability, anti-bacterial treatment make this garment perfect for open air activities and free time.",Quick drying; Light and breathable fabric; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",PINE,56,https://www.cmpsport.com/ww/round-neck-t-shirt-with-cmp-logo-39t7117p,exact
82975,08/05/2026,2008/00100017400079,1,39A5027,U901,NERO,46,8056381460393,Giacca in Light Softshell con cappuccio staccabile da uomo,99.99,Man,Hiking,SHELL 100% POLYESTER; INSIDE 100% POLYESTER; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"The non-padded fleece model of the iconic CMP 3-layer softshell! This men's jacket with detachable hood in Light Softshell fabric, weighing 180 g/m2, is designed for hiking enthusiasts in the spring time. The three-layered fabric structure and special thermal, micro-porous Clima Protect layer make this jacket windproof, waterproof and breathable.",WP 8.000; MVP 3.000; 1 sleeve zip pocket; Vented; Detachable adjustable hood; CLIMAPROTECT waterproof membrane; Breathable; Clima Protect®; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",Black,46,https://www.cmpsport.com/ww/men-s-light-softshell-jacket-with-detachable-hood-39a5027,fuzzy color
82975,08/05/2026,2008/00100017400079,2,39A5027,U901,NERO,48,8056381460430,Giacca in Light Softshell con cappuccio staccabile da uomo,99.99,Man,Hiking,SHELL 100% POLYESTER; INSIDE 100% POLYESTER; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"The non-padded fleece model of the iconic CMP 3-layer softshell! This men's jacket with detachable hood in Light Softshell fabric, weighing 180 g/m2, is designed for hiking enthusiasts in the spring time. The three-layered fabric structure and special thermal, micro-porous Clima Protect layer make this jacket windproof, waterproof and breathable.",WP 8.000; MVP 3.000; 1 sleeve zip pocket; Vented; Detachable adjustable hood; CLIMAPROTECT waterproof membrane; Breathable; Clima Protect®; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",Black,48,https://www.cmpsport.com/ww/men-s-light-softshell-jacket-with-detachable-hood-39a5027,fuzzy color
82975,08/05/2026,2008/00100017400079,2,39A5027,U901,NERO,50,8056381460478,Giacca in Light Softshell con cappuccio staccabile da uomo,99.99,Man,Hiking,SHELL 100% POLYESTER; INSIDE 100% POLYESTER; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"The non-padded fleece model of the iconic CMP 3-layer softshell! This men's jacket with detachable hood in Light Softshell fabric, weighing 180 g/m2, is designed for hiking enthusiasts in the spring time. The three-layered fabric structure and special thermal, micro-porous Clima Protect layer make this jacket windproof, waterproof and breathable.",WP 8.000; MVP 3.000; 1 sleeve zip pocket; Vented; Detachable adjustable hood; CLIMAPROTECT waterproof membrane; Breathable; Clima Protect®; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",Black,50,https://www.cmpsport.com/ww/men-s-light-softshell-jacket-with-detachable-hood-39a5027,fuzzy color
82975,08/05/2026,2008/00100017400079,1,39A5027,U901,NERO,52,8056381460515,Giacca in Light Softshell con cappuccio staccabile da uomo,99.99,Man,Hiking,SHELL 100% POLYESTER; INSIDE 100% POLYESTER; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"The non-padded fleece model of the iconic CMP 3-layer softshell! This men's jacket with detachable hood in Light Softshell fabric, weighing 180 g/m2, is designed for hiking enthusiasts in the spring time. The three-layered fabric structure and special thermal, micro-porous Clima Protect layer make this jacket windproof, waterproof and breathable.",WP 8.000; MVP 3.000; 1 sleeve zip pocket; Vented; Detachable adjustable hood; CLIMAPROTECT waterproof membrane; Breathable; Clima Protect®; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",Black,52,https://www.cmpsport.com/ww/men-s-light-softshell-jacket-with-detachable-hood-39a5027,fuzzy color
82975,08/05/2026,2008/00100017400079,1,39A5027,U901,NERO,54,8056381460553,Giacca in Light Softshell con cappuccio staccabile da uomo,99.99,Man,Hiking,SHELL 100% POLYESTER; INSIDE 100% POLYESTER; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"The non-padded fleece model of the iconic CMP 3-layer softshell! This men's jacket with detachable hood in Light Softshell fabric, weighing 180 g/m2, is designed for hiking enthusiasts in the spring time. The three-layered fabric structure and special thermal, micro-porous Clima Protect layer make this jacket windproof, waterproof and breathable.",WP 8.000; MVP 3.000; 1 sleeve zip pocket; Vented; Detachable adjustable hood; CLIMAPROTECT waterproof membrane; Breathable; Clima Protect®; Water Repellent,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityOUTDOOR",Black,54,https://www.cmpsport.com/ww/men-s-light-softshell-jacket-with-detachable-hood-39a5027,fuzzy color
82975,08/05/2026,2008/00100017400079,1,3R50857,18EV,OILGREEN-B.CO,46,8055950139500,Costume boxer corto a righe,99.99,Man,Swimwear,SHELL 100% POLYESTER; SLIP 100% POLYESTER; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS,"The short striped men's boxer shorts CMP, is the ideal product for days at the beach, pool or lake. With two side pockets and elasticated waistband, comfortable, for both in-water and out-of-water activities.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBEACH",OILGREEN-B.CO,46,https://www.cmpsport.com/ww/striped-short-swimming-trunks-3r50857,exact
